age, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39, 40, State-gov, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K, 13
50, 13, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, <=50K, 13
38, 40, Private, United-States, Male, White, Divorced, Not-in-family, Handlers-cleaners, <=50K, 9
53, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, Handlers-cleaners, <=50K, 7
28, 40, Private, Cuba, Female, Black, Married-civ-spouse, Wife, Prof-specialty, <=50K, 13
37, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Exec-managerial, <=50K, 14
49, 16, Private, Jamaica, Female, Black, Married-spouse-absent, Not-in-family, Other-service, <=50K, 5
52, 45, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
31, 50, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, >50K, 14
42, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
37, 80, Private, United-States, Male, Black, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
30, 40, State-gov, India, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
23, 30, Private, United-States, Female, White, Never-married, Own-child, Adm-clerical, <=50K, 13
32, 50, Private, United-States, Male, Black, Never-married, Not-in-family, Sales, <=50K, 12
34, 45, Private, Mexico, Male, Amer-Indian-Eskimo, Married-civ-spouse, Husband, Transport-moving, <=50K, 4
25, 35, Self-emp-not-inc, United-States, Male, White, Never-married, Own-child, Farming-fishing, <=50K, 9
32, 40, Private, United-States, Male, White, Never-married, Unmarried, Machine-op-inspct, <=50K, 9
38, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 7
43, 45, Self-emp-not-inc, United-States, Female, White, Divorced, Unmarried, Exec-managerial, >50K, 14
40, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 16
54, 20, Private, United-States, Female, Black, Separated, Unmarried, Other-service, <=50K, 9
35, 40, Federal-gov, United-States, Male, Black, Married-civ-spouse, Husband, Farming-fishing, <=50K, 5
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K, 7
59, 40, Private, United-States, Female, White, Divorced, Unmarried, Tech-support, <=50K, 9
56, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, >50K, 13
19, 40, Private, United-States, Male, White, Never-married, Own-child, Craft-repair, <=50K, 9
39, 80, Private, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, <=50K, 9
49, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 9
23, 52, Local-gov, United-States, Male, White, Never-married, Not-in-family, Protective-serv, <=50K, 12
20, 44, Private, United-States, Male, Black, Never-married, Own-child, Sales, <=50K, 10
45, 40, Private, United-States, Male, White, Divorced, Own-child, Exec-managerial, <=50K, 13
30, 40, Federal-gov, United-States, Male, White, Married-civ-spouse, Own-child, Adm-clerical, <=50K, 10
22, 15, State-gov, United-States, Male, Black, Married-civ-spouse, Husband, Other-service, <=50K, 10
48, 40, Private, Puerto-Rico, Male, White, Never-married, Unmarried, Machine-op-inspct, <=50K, 7
21, 40, Private, United-States, Male, White, Never-married, Own-child, Machine-op-inspct, <=50K, 10
19, 25, Private, United-States, Female, White, Married-AF-spouse, Wife, Adm-clerical, <=50K, 9
48, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 12
31, 43, Private, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K, 5
53, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 13
24, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, <=50K, 13
49, 40, Private, United-States, Female, White, Separated, Unmarried, Adm-clerical, <=50K, 9
25, 35, Private, United-States, Male, White, Never-married, Not-in-family, Handlers-cleaners, <=50K, 9
57, 40, Federal-gov, United-States, Male, Black, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
53, 38, Private, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K, 9
44, 40, Private, United-States, Female, White, Divorced, Unmarried, Exec-managerial, <=50K, 14
41, 40, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 11
29, 43, Private, United-States, Male, White, Never-married, Not-in-family, Prof-specialty, <=50K, 11
25, 40, Private, United-States, Female, Other, Married-civ-spouse, Wife, Exec-managerial, <=50K, 10
47, 60, Private, Honduras, Female, White, Married-civ-spouse, Wife, Prof-specialty, >50K, 15
50, 55, Federal-gov, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, >50K, 13
47, 60, Self-emp-inc, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, <=50K, 9
43, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, >50K, 10
46, 40, Private, Mexico, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K, 3
35, 40, Private, Puerto-Rico, Male, White, Married-civ-spouse, Husband, Other-service, <=50K, 11
41, 48, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, <=50K, 9
30, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K, 9
30, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 13
48, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K, 9
42, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 16
29, 58, Private, United-States, Male, White, Divorced, Not-in-family, Tech-support, <=50K, 10
36, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 9
28, 40, Private, United-States, Female, White, Divorced, Not-in-family, Adm-clerical, <=50K, 10
53, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Adm-clerical, >50K, 9
49, 50, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
19, 32, Private, United-States, Male, White, Never-married, Own-child, Prof-specialty, <=50K, 10
31, 40, Private, United-States, Female, Black, Separated, Own-child, Sales, <=50K, 13
29, 70, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K, 13
23, 40, Private, United-States, Male, White, Never-married, Not-in-family, Machine-op-inspct, <=50K, 10
79, 20, Private, United-States, Male, White, Married-civ-spouse, Other-relative, Prof-specialty, <=50K, 10
27, 40, Private, Mexico, Male, White, Never-married, Own-child, Other-service, <=50K, 9
40, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, <=50K, 12
18, 22, Private, United-States, Female, White, Never-married, Own-child, Other-service, <=50K, 7
31, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Farming-fishing, <=50K, 4
18, 30, Private, United-States, Male, White, Never-married, Not-in-family, Sales, <=50K, 9
52, 40, Private, Cuba, Male, White, Married-civ-spouse, Husband, Other-service, <=50K, 13
46, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Other-service, <=50K, 9
59, 48, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 9
