age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
39, 13, 40, State-gov, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K
50, 13, 13, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, <=50K
38, 9, 40, Private, United-States, Male, White, Divorced, Not-in-family, Handlers-cleaners, <=50K
53, 7, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, Handlers-cleaners, <=50K
28, 13, 40, Private, Cuba, Female, Black, Married-civ-spouse, Wife, Prof-specialty, <=50K
37, 14, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Exec-managerial, <=50K
49, 5, 16, Private, Jamaica, Female, Black, Married-spouse-absent, Not-in-family, Other-service, <=50K
52, 9, 45, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
31, 14, 50, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, >50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
37, 10, 80, Private, United-States, Male, Black, Married-civ-spouse, Husband, Exec-managerial, >50K
30, 13, 40, State-gov, India, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Prof-specialty, >50K
23, 13, 30, Private, United-States, Female, White, Never-married, Own-child, Adm-clerical, <=50K
32, 12, 50, Private, United-States, Male, Black, Never-married, Not-in-family, Sales, <=50K
34, 4, 45, Private, Mexico, Male, Amer-Indian-Eskimo, Married-civ-spouse, Husband, Transport-moving, <=50K
25, 9, 35, Self-emp-not-inc, United-States, Male, White, Never-married, Own-child, Farming-fishing, <=50K
32, 9, 40, Private, United-States, Male, White, Never-married, Unmarried, Machine-op-inspct, <=50K
38, 7, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
43, 14, 45, Self-emp-not-inc, United-States, Female, White, Divorced, Unmarried, Exec-managerial, >50K
40, 16, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
54, 9, 20, Private, United-States, Female, Black, Separated, Unmarried, Other-service, <=50K
35, 5, 40, Federal-gov, United-States, Male, Black, Married-civ-spouse, Husband, Farming-fishing, <=50K
43, 7, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K
