age, education-num, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
39, 13, 40, State-gov, United-States, Male, White, Not-in-family, Adm-clerical, <=50K, Never-married
50, 13, 13, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, <=50K, Married-civ-spouse
38, 9, 40, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Divorced
53, 7, 40, Private, United-States, Male, Black, Husband, Handlers-cleaners, <=50K, Married-civ-spouse
28, 13, 40, Private, Cuba, Female, Black, Wife, Prof-specialty, <=50K, Married-civ-spouse
37, 14, 40, Private, United-States, Female, White, Wife, Exec-managerial, <=50K, Married-civ-spouse
49, 5, 16, Private, Jamaica, Female, Black, Not-in-family, Other-service, <=50K, Married-spouse-absent
52, 9, 45, Self-emp-not-inc, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
31, 14, 50, Private, United-States, Female, White, Not-in-family, Prof-specialty, >50K, Never-married
42, 13, 40, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
37, 10, 80, Private, United-States, Male, Black, Husband, Exec-managerial, >50K, Married-civ-spouse
30, 13, 40, State-gov, India, Male, Asian-Pac-Islander, Husband, Prof-specialty, >50K, Married-civ-spouse
23, 13, 30, Private, United-States, Female, White, Own-child, Adm-clerical, <=50K, Never-married
32, 12, 50, Private, United-States, Male, Black, Not-in-family, Sales, <=50K, Never-married
34, 4, 45, Private, Mexico, Male, Amer-Indian-Eskimo, Husband, Transport-moving, <=50K, Married-civ-spouse
25, 9, 35, Self-emp-not-inc, United-States, Male, White, Own-child, Farming-fishing, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, Unmarried, Machine-op-inspct, <=50K, Never-married
38, 7, 50, Private, United-States, Male, White, Husband, Sales, <=50K, Married-civ-spouse
43, 14, 45, Self-emp-not-inc, United-States, Female, White, Unmarried, Exec-managerial, >50K, Divorced
40, 16, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
54, 9, 20, Private, United-States, Female, Black, Unmarried, Other-service, <=50K, Separated
35, 5, 40, Federal-gov, United-States, Male, Black, Husband, Farming-fishing, <=50K, Married-civ-spouse
43, 7, 40, Private, United-States, Male, White, Husband, Transport-moving, <=50K, Married-civ-spouse
59, 9, 40, Private, United-States, Female, White, Unmarried, Tech-support, <=50K, Divorced
56, 13, 40, Local-gov, United-States, Male, White, Husband, Tech-support, >50K, Married-civ-spouse
19, 9, 40, Private, United-States, Male, White, Own-child, Craft-repair, <=50K, Never-married
39, 9, 80, Private, United-States, Male, White, Not-in-family, Exec-managerial, <=50K, Divorced
49, 9, 40, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
23, 12, 52, Local-gov, United-States, Male, White, Not-in-family, Protective-serv, <=50K, Never-married
20, 10, 44, Private, United-States, Male, Black, Own-child, Sales, <=50K, Never-married
45, 13, 40, Private, United-States, Male, White, Own-child, Exec-managerial, <=50K, Divorced
30, 10, 40, Federal-gov, United-States, Male, White, Own-child, Adm-clerical, <=50K, Married-civ-spouse
22, 10, 15, State-gov, United-States, Male, Black, Husband, Other-service, <=50K, Married-civ-spouse
48, 7, 40, Private, Puerto-Rico, Male, White, Unmarried, Machine-op-inspct, <=50K, Never-married
21, 10, 40, Private, United-States, Male, White, Own-child, Machine-op-inspct, <=50K, Never-married
19, 9, 25, Private, United-States, Female, White, Wife, Adm-clerical, <=50K, Married-AF-spouse
48, 12, 40, Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, <=50K, Married-civ-spouse
31, 5, 43, Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
53, 13, 40, Self-emp-not-inc, United-States, Male, White, Husband, Prof-specialty, <=50K, Married-civ-spouse
24, 13, 50, Private, United-States, Male, White, Husband, Tech-support, <=50K, Married-civ-spouse
49, 9, 40, Private, United-States, Female, White, Unmarried, Adm-clerical, <=50K, Separated
25, 9, 35, Private, United-States, Male, White, Not-in-family, Handlers-cleaners, <=50K, Never-married
57, 13, 40, Federal-gov, United-States, Male, Black, Husband, Prof-specialty, >50K, Married-civ-spouse
53, 9, 38, Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
44, 14, 40, Private, United-States, Female, White, Unmarried, Exec-managerial, <=50K, Divorced
41, 11, 40, State-gov, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
29, 11, 43, Private, United-States, Male, White, Not-in-family, Prof-specialty, <=50K, Never-married
25, 10, 40, Private, United-States, Female, Other, Wife, Exec-managerial, <=50K, Married-civ-spouse
47, 15, 60, Private, Honduras, Female, White, Wife, Prof-specialty, >50K, Married-civ-spouse
50, 13, 55, Federal-gov, United-States, Male, White, Not-in-family, Exec-managerial, >50K, Divorced
47, 9, 60, Self-emp-inc, United-States, Male, White, Not-in-family, Exec-managerial, <=50K, Divorced
43, 10, 40, Private, United-States, Male, White, Husband, Tech-support, >50K, Married-civ-spouse
46, 3, 40, Private, Mexico, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
35, 11, 40, Private, Puerto-Rico, Male, White, Husband, Other-service, <=50K, Married-civ-spouse
41, 9, 48, Private, United-States, Male, White, Husband, Adm-clerical, <=50K, Married-civ-spouse
30, 9, 40, Private, United-States, Male, White, Husband, Machine-op-inspct, <=50K, Married-civ-spouse
30, 13, 40, Private, United-States, Male, White, Husband, Sales, <=50K, Married-civ-spouse
48, 9, 40, Private, United-States, Male, White, Husband, Transport-moving, <=50K, Married-civ-spouse
42, 16, 45, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
29, 10, 58, Private, United-States, Male, White, Not-in-family, Tech-support, <=50K, Divorced
36, 9, 40, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
28, 10, 40, Private, United-States, Female, White, Not-in-family, Adm-clerical, <=50K, Divorced
53, 9, 40, Private, United-States, Female, White, Wife, Adm-clerical, >50K, Married-civ-spouse
49, 10, 50, Self-emp-inc, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
19, 10, 32, Private, United-States, Male, White, Own-child, Prof-specialty, <=50K, Never-married
31, 13, 40, Private, United-States, Female, Black, Own-child, Sales, <=50K, Separated
29, 13, 70, Self-emp-not-inc, United-States, Male, White, Husband, Sales, >50K, Married-civ-spouse
23, 10, 40, Private, United-States, Male, White, Not-in-family, Machine-op-inspct, <=50K, Never-married
79, 10, 20, Private, United-States, Male, White, Other-relative, Prof-specialty, <=50K, Married-civ-spouse
27, 9, 40, Private, Mexico, Male, White, Own-child, Other-service, <=50K, Never-married
40, 12, 40, Private, United-States, Male, White, Husband, Adm-clerical, <=50K, Married-civ-spouse
18, 7, 22, Private, United-States, Female, White, Own-child, Other-service, <=50K, Never-married
31, 4, 40, Local-gov, United-States, Male, White, Husband, Farming-fishing, <=50K, Married-civ-spouse
18, 9, 30, Private, United-States, Male, White, Not-in-family, Sales, <=50K, Never-married
52, 13, 40, Private, Cuba, Male, White, Husband, Other-service, <=50K, Married-civ-spouse
46, 9, 40, Private, United-States, Female, White, Wife, Other-service, <=50K, Married-civ-spouse
59, 9, 48, Private, United-States, Male, White, Husband, Sales, <=50K, Married-civ-spouse
44, 9, 40, Private, United-States, Female, White, Not-in-family, Craft-repair, >50K, Divorced
53, 9, 35, Private, United-States, Female, White, Own-child, Sales, <=50K, Divorced
49, 9, 40, Local-gov, United-States, Male, White, Husband, Protective-serv, >50K, Married-civ-spouse
33, 14, 50, Private, United-States, Male, White, Husband, Prof-specialty, <=50K, Married-civ-spouse
30, 5, 40, Private, United-States, Male, White, Not-in-family, Sales, <=50K, Never-married
43, 16, 50, Federal-gov, United-States, Female, White, Not-in-family, Prof-specialty, >50K, Never-married
57, 11, 40, Private, United-States, Male, White, Husband, Prof-specialty, <=50K, Married-civ-spouse
37, 10, 40, Private, United-States, Female, White, Unmarried, Craft-repair, <=50K, Divorced
28, 10, 25, Private, United-States, Female, Black, Unmarried, Machine-op-inspct, <=50K, Divorced
34, 13, 40, Local-gov, United-States, Male, White, Husband, Protective-serv, >50K, Married-civ-spouse
